lad22cd,category,count_21,count_11,change
E09000001,10km to less than 20km,82,137,-55
E09000001,20km to less than 30km,15,31,-16
E09000001,2km to less than 5km,385,846,-461
E09000001,30km to less than 40km,7,23,-16
E09000001,40km to less than 60km,9,17,-8
E09000001,5km to less than 10km,241,384,-143
E09000001,60km and over,28,83,-55
E09000001,Less than 2km,676,2257,-1581
E09000001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",303,282,21
E09000001,Works mainly from home,3602,687,2915
E09000002,10km to less than 20km,16820,19586,-2766
E09000002,20km to less than 30km,4677,4839,-162
E09000002,2km to less than 5km,11954,13079,-1125
E09000002,30km to less than 40km,1056,1112,-56
E09000002,40km to less than 60km,594,598,-4
E09000002,5km to less than 10km,11182,11472,-290
E09000002,60km and over,1032,1300,-268
E09000002,Less than 2km,6478,8092,-1614
E09000002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",21224,10399,10825
E09000002,Works mainly from home,19572,4740,14832
E09000003,10km to less than 20km,22122,47142,-25020
E09000003,20km to less than 30km,2294,4071,-1777
E09000003,2km to less than 5km,15501,20734,-5233
E09000003,30km to less than 40km,795,1370,-575
E09000003,40km to less than 60km,619,1086,-467
E09000003,5km to less than 10km,23510,36206,-12696
E09000003,60km and over,1162,1799,-637
E09000003,Less than 2km,12676,17057,-4381
E09000003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",27869,20225,7644
E09000003,Works mainly from home,79628,20968,58660
E09000004,10km to less than 20km,15404,30636,-15232
E09000004,20km to less than 30km,4488,8228,-3740
E09000004,2km to less than 5km,13246,17256,-4010
E09000004,30km to less than 40km,1014,1601,-587
E09000004,40km to less than 60km,591,981,-390
E09000004,5km to less than 10km,13754,18487,-4733
E09000004,60km and over,835,1421,-586
E09000004,Less than 2km,7959,10863,-2904
E09000004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20001,12126,7875
E09000004,Works mainly from home,40692,8560,32132
E09000005,10km to less than 20km,16535,26401,-9866
E09000005,20km to less than 30km,2057,3214,-1157
E09000005,2km to less than 5km,23212,27761,-4549
E09000005,30km to less than 40km,623,921,-298
E09000005,40km to less than 60km,566,768,-202
E09000005,5km to less than 10km,23900,36623,-12723
E09000005,60km and over,1478,1868,-390
E09000005,Less than 2km,13873,15451,-1578
E09000005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",29763,21598,8165
E09000005,Works mainly from home,48987,12856,36131
E09000006,10km to less than 20km,19654,48292,-28638
E09000006,20km to less than 30km,4464,11462,-6998
E09000006,2km to less than 5km,13633,18933,-5300
E09000006,30km to less than 40km,1046,2061,-1015
E09000006,40km to less than 60km,495,1111,-616
E09000006,5km to less than 10km,15786,21859,-6073
E09000006,60km and over,841,1785,-944
E09000006,Less than 2km,9359,15585,-6226
E09000006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",21333,14481,6852
E09000006,Works mainly from home,75511,15799,59712
E09000007,10km to less than 20km,2928,6766,-3838
E09000007,20km to less than 30km,562,1417,-855
E09000007,2km to less than 5km,11530,27648,-16118
E09000007,30km to less than 40km,192,489,-297
E09000007,40km to less than 60km,247,585,-338
E09000007,5km to less than 10km,9350,29373,-20023
E09000007,60km and over,593,1449,-856
E09000007,Less than 2km,9572,17698,-8126
E09000007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9429,9175,254
E09000007,Works mainly from home,58110,14366,43744
E09000008,10km to less than 20km,24188,45962,-21774
E09000008,20km to less than 30km,4639,10707,-6068
E09000008,2km to less than 5km,19863,24885,-5022
E09000008,30km to less than 40km,1006,1952,-946
E09000008,40km to less than 60km,797,1402,-605
E09000008,5km to less than 10km,23782,29785,-6003
E09000008,60km and over,1175,2780,-1605
E09000008,Less than 2km,13941,22570,-8629
E09000008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",29040,17325,11715
E09000008,Works mainly from home,70976,15619,55357
E09000009,10km to less than 20km,18816,39550,-20734
E09000009,20km to less than 30km,2623,5096,-2473
E09000009,2km to less than 5km,20953,25809,-4856
E09000009,30km to less than 40km,704,1349,-645
E09000009,40km to less than 60km,687,1320,-633
E09000009,5km to less than 10km,25070,35784,-10714
E09000009,60km and over,1218,2011,-793
E09000009,Less than 2km,14152,18151,-3999
E09000009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",27663,20748,6915
E09000009,Works mainly from home,63137,15002,48135
E09000010,10km to less than 20km,20771,40369,-19598
E09000010,20km to less than 30km,3068,4530,-1462
E09000010,2km to less than 5km,17946,23261,-5315
E09000010,30km to less than 40km,1049,1331,-282
E09000010,40km to less than 60km,602,848,-246
E09000010,5km to less than 10km,16531,22084,-5553
E09000010,60km and over,1073,1764,-691
E09000010,Less than 2km,12252,15693,-3441
E09000010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",25595,15380,10215
E09000010,Works mainly from home,44977,12362,32615
E09000011,10km to less than 20km,19159,32925,-13766
E09000011,20km to less than 30km,2135,3251,-1116
E09000011,2km to less than 5km,13805,17307,-3502
E09000011,30km to less than 40km,1090,1561,-471
E09000011,40km to less than 60km,618,794,-176
E09000011,5km to less than 10km,17879,25399,-7520
E09000011,60km and over,1164,1664,-500
E09000011,Less than 2km,9067,11422,-2355
E09000011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20058,13888,6170
E09000011,Works mainly from home,57959,9610,48349
E09000012,10km to less than 20km,5068,9033,-3965
E09000012,20km to less than 30km,843,1420,-577
E09000012,2km to less than 5km,16334,30252,-13918
E09000012,30km to less than 40km,319,476,-157
E09000012,40km to less than 60km,370,603,-233
E09000012,5km to less than 10km,15674,34482,-18808
E09000012,60km and over,724,1427,-703
E09000012,Less than 2km,13715,16130,-2415
E09000012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",14420,12770,1650
E09000012,Works mainly from home,66844,11963,54881
E09000013,10km to less than 20km,3567,10020,-6453
E09000013,20km to less than 30km,553,1412,-859
E09000013,2km to less than 5km,11105,18115,-7010
E09000013,30km to less than 40km,230,584,-354
E09000013,40km to less than 60km,213,592,-379
E09000013,5km to less than 10km,12067,34833,-22766
E09000013,60km and over,511,1140,-629
E09000013,Less than 2km,9057,14006,-4949
E09000013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9471,8500,971
E09000013,Works mainly from home,51319,10416,40903
E09000014,10km to less than 20km,11498,18941,-7443
E09000014,20km to less than 30km,1642,2445,-803
E09000014,2km to less than 5km,11812,14934,-3122
E09000014,30km to less than 40km,481,660,-179
E09000014,40km to less than 60km,425,594,-169
E09000014,5km to less than 10km,21803,45250,-23447
E09000014,60km and over,923,1583,-660
E09000014,Less than 2km,8994,10703,-1709
E09000014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",21036,16721,4315
E09000014,Works mainly from home,55767,12465,43302
E09000015,10km to less than 20km,16161,29857,-13696
E09000015,20km to less than 30km,3727,7904,-4177
E09000015,2km to less than 5km,12883,16529,-3646
E09000015,30km to less than 40km,848,1271,-423
E09000015,40km to less than 60km,663,934,-271
E09000015,5km to less than 10km,13939,19138,-5199
E09000015,60km and over,1140,1376,-236
E09000015,Less than 2km,8875,12576,-3701
E09000015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",21626,12741,8885
E09000015,Works mainly from home,45175,11574,33601
E09000016,10km to less than 20km,13443,19467,-6024
E09000016,20km to less than 30km,9816,21170,-11354
E09000016,2km to less than 5km,12603,17158,-4555
E09000016,30km to less than 40km,1670,2104,-434
E09000016,40km to less than 60km,674,971,-297
E09000016,5km to less than 10km,12030,16215,-4185
E09000016,60km and over,823,1534,-711
E09000016,Less than 2km,9023,12721,-3698
E09000016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",23048,12801,10247
E09000016,Works mainly from home,41654,8705,32949
E09000017,10km to less than 20km,15907,21028,-5121
E09000017,20km to less than 30km,6492,13687,-7195
E09000017,2km to less than 5km,17575,23044,-5469
E09000017,30km to less than 40km,1261,2171,-910
E09000017,40km to less than 60km,677,1192,-515
E09000017,5km to less than 10km,20004,26443,-6439
E09000017,60km and over,1193,1827,-634
E09000017,Less than 2km,11426,17175,-5749
E09000017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",23077,12494,10583
E09000017,Works mainly from home,45193,11229,33964
E09000018,10km to less than 20km,14596,24730,-10134
E09000018,20km to less than 30km,2943,5701,-2758
E09000018,2km to less than 5km,19269,23852,-4583
E09000018,30km to less than 40km,904,1448,-544
E09000018,40km to less than 60km,526,906,-380
E09000018,5km to less than 10km,20792,27711,-6919
E09000018,60km and over,1200,1654,-454
E09000018,Less than 2km,11506,16376,-4870
E09000018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",22017,13515,8502
E09000018,Works mainly from home,45047,11139,33908
E09000019,10km to less than 20km,3395,5836,-2441
E09000019,20km to less than 30km,735,1462,-727
E09000019,2km to less than 5km,15366,36943,-21577
E09000019,30km to less than 40km,253,507,-254
E09000019,40km to less than 60km,219,587,-368
E09000019,5km to less than 10km,10635,25510,-14875
E09000019,60km and over,580,1400,-820
E09000019,Less than 2km,8926,15364,-6438
E09000019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",10332,9034,1298
E09000019,Works mainly from home,64530,10122,54408
E09000020,10km to less than 20km,1674,5389,-3715
E09000020,20km to less than 30km,285,761,-476
E09000020,2km to less than 5km,8557,19866,-11309
E09000020,30km to less than 40km,112,412,-300
E09000020,40km to less than 60km,163,418,-255
E09000020,5km to less than 10km,6076,22399,-16323
E09000020,60km and over,427,968,-541
E09000020,Less than 2km,5634,11176,-5542
E09000020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",6504,6488,16
E09000020,Works mainly from home,40010,13510,26500
E09000021,10km to less than 20km,7869,21788,-13919
E09000021,20km to less than 30km,1543,5002,-3459
E09000021,2km to less than 5km,8660,12889,-4229
E09000021,30km to less than 40km,435,1145,-710
E09000021,40km to less than 60km,272,694,-422
E09000021,5km to less than 10km,7750,11716,-3966
E09000021,60km and over,479,1004,-525
E09000021,Less than 2km,7951,11610,-3659
E09000021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9938,7167,2771
E09000021,Works mainly from home,39251,8942,30309
E09000022,10km to less than 20km,8821,17599,-8778
E09000022,20km to less than 30km,1298,2468,-1170
E09000022,2km to less than 5km,20798,32941,-12143
E09000022,30km to less than 40km,542,1118,-576
E09000022,40km to less than 60km,479,1093,-614
E09000022,5km to less than 10km,27500,64043,-36543
E09000022,60km and over,1032,2120,-1088
E09000022,Less than 2km,10256,14376,-4120
E09000022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20323,16874,3449
E09000022,Works mainly from home,91770,13862,77908
E09000023,10km to less than 20km,14511,28783,-14272
E09000023,20km to less than 30km,1324,2449,-1125
E09000023,2km to less than 5km,15739,20203,-4464
E09000023,30km to less than 40km,695,1107,-412
E09000023,40km to less than 60km,436,812,-376
E09000023,5km to less than 10km,22627,42449,-19822
E09000023,60km and over,963,1742,-779
E09000023,Less than 2km,9586,12466,-2880
E09000023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",19854,14633,5221
E09000023,Works mainly from home,69977,11413,58564
E09000024,10km to less than 20km,11940,33873,-21933
E09000024,20km to less than 30km,1292,2553,-1261
E09000024,2km to less than 5km,12008,15083,-3075
E09000024,30km to less than 40km,464,1069,-605
E09000024,40km to less than 60km,317,701,-384
E09000024,5km to less than 10km,12582,18730,-6148
E09000024,60km and over,667,1161,-494
E09000024,Less than 2km,7964,10778,-2814
E09000024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",16412,11419,4993
E09000024,Works mainly from home,48419,9455,38964
E09000025,10km to less than 20km,22586,31363,-8777
E09000025,20km to less than 30km,3134,4038,-904
E09000025,2km to less than 5km,18566,19480,-914
E09000025,30km to less than 40km,1211,1311,-100
E09000025,40km to less than 60km,867,1193,-326
E09000025,5km to less than 10km,23513,28419,-4906
E09000025,60km and over,1646,2068,-422
E09000025,Less than 2km,13109,14025,-916
E09000025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",31078,21612,9466
E09000025,Works mainly from home,47737,8945,38792
E09000026,10km to less than 20km,20959,40806,-19847
E09000026,20km to less than 30km,4293,5232,-939
E09000026,2km to less than 5km,12953,16001,-3048
E09000026,30km to less than 40km,1421,1564,-143
E09000026,40km to less than 60km,704,1025,-321
E09000026,5km to less than 10km,16676,20714,-4038
E09000026,60km and over,1265,1702,-437
E09000026,Less than 2km,9479,12264,-2785
E09000026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",24471,14355,10116
E09000026,Works mainly from home,49406,11029,38377
E09000027,10km to less than 20km,7543,28346,-20803
E09000027,20km to less than 30km,1127,4720,-3593
E09000027,2km to less than 5km,7734,14139,-6405
E09000027,30km to less than 40km,387,1513,-1126
E09000027,40km to less than 60km,244,961,-717
E09000027,5km to less than 10km,7975,15697,-7722
E09000027,60km and over,467,1280,-813
E09000027,Less than 2km,6171,10657,-4486
E09000027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",8595,8021,574
E09000027,Works mainly from home,57322,13870,43452
E09000028,10km to less than 20km,7014,11142,-4128
E09000028,20km to less than 30km,1171,1832,-661
E09000028,2km to less than 5km,23403,41277,-17874
E09000028,30km to less than 40km,614,959,-345
E09000028,40km to less than 60km,524,1007,-483
E09000028,5km to less than 10km,21496,41941,-20445
E09000028,60km and over,1163,2117,-954
E09000028,Less than 2km,13354,20095,-6741
E09000028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",17367,14715,2652
E09000028,Works mainly from home,80842,12303,68539
E09000029,10km to less than 20km,10763,23297,-12534
E09000029,20km to less than 30km,1813,4180,-2367
E09000029,2km to less than 5km,13798,18695,-4897
E09000029,30km to less than 40km,504,916,-412
E09000029,40km to less than 60km,364,702,-338
E09000029,5km to less than 10km,12352,16339,-3987
E09000029,60km and over,586,1139,-553
E09000029,Less than 2km,9304,13437,-4133
E09000029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",16716,10215,6501
E09000029,Works mainly from home,38024,8738,29286
E09000030,10km to less than 20km,6560,9206,-2646
E09000030,20km to less than 30km,1016,1617,-601
E09000030,2km to less than 5km,18779,31135,-12356
E09000030,30km to less than 40km,592,866,-274
E09000030,40km to less than 60km,685,930,-245
E09000030,5km to less than 10km,17789,30894,-13105
E09000030,60km and over,991,1796,-805
E09000030,Less than 2km,14961,24729,-9768
E09000030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",15802,10654,5148
E09000030,Works mainly from home,78219,9046,69173
E09000031,10km to less than 20km,16894,31352,-14458
E09000031,20km to less than 30km,2100,3017,-917
E09000031,2km to less than 5km,12834,15249,-2415
E09000031,30km to less than 40km,811,982,-171
E09000031,40km to less than 60km,493,734,-241
E09000031,5km to less than 10km,18624,28045,-9421
E09000031,60km and over,996,1443,-447
E09000031,Less than 2km,9939,12441,-2502
E09000031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",24917,18565,6352
E09000031,Works mainly from home,52765,9193,43572
E09000032,10km to less than 20km,9786,30265,-20479
E09000032,20km to less than 30km,1216,3316,-2100
E09000032,2km to less than 5km,18303,27706,-9403
E09000032,30km to less than 40km,557,1655,-1098
E09000032,40km to less than 60km,431,1286,-855
E09000032,5km to less than 10km,23644,66099,-42455
E09000032,60km and over,923,2028,-1105
E09000032,Less than 2km,11655,15186,-3531
E09000032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",16289,14406,1883
E09000032,Works mainly from home,107639,16635,91004
E09000033,10km to less than 20km,2497,5946,-3449
E09000033,20km to less than 30km,510,1357,-847
E09000033,2km to less than 5km,13785,32926,-19141
E09000033,30km to less than 40km,255,702,-447
E09000033,40km to less than 60km,239,849,-610
E09000033,5km to less than 10km,7140,22123,-14983
E09000033,60km and over,621,1650,-1029
E09000033,Less than 2km,10299,21455,-11156
E09000033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9630,8629,1001
E09000033,Works mainly from home,56766,15542,41224
