lad22cd,category,count_21,count_11,change
E09000001,1 room,591,373,218
E09000001,2 rooms,1790,870,920
E09000001,3 rooms,1624,1357,267
E09000001,4 rooms,428,1086,-658
E09000001,5 rooms,278,366,-88
E09000001,6 rooms,135,175,-40
E09000001,7 rooms,18,86,-68
E09000001,8 rooms,18,38,-20
E09000001,9 or more rooms,30,34,-4
E09000002,1 room,488,629,-141
E09000002,2 rooms,10049,2993,7056
E09000002,3 rooms,23142,10605,12537
E09000002,4 rooms,22867,19594,3273
E09000002,5 rooms,15231,21598,-6367
E09000002,6 rooms,1574,9815,-8241
E09000002,7 rooms,311,2655,-2344
E09000002,8 rooms,144,1165,-1021
E09000002,9 or more rooms,96,627,-531
E09000003,1 room,5161,3047,2114
E09000003,2 rooms,20281,6846,13435
E09000003,3 rooms,41771,17983,23788
E09000003,4 rooms,22551,32470,-9919
E09000003,5 rooms,35094,24959,10135
E09000003,6 rooms,12918,21046,-8128
E09000003,7 rooms,5669,12762,-7093
E09000003,8 rooms,2840,8281,-5441
E09000003,9 or more rooms,2632,8522,-5890
E09000004,1 room,579,441,138
E09000004,2 rooms,8547,2100,6447
E09000004,3 rooms,20148,8680,11468
E09000004,4 rooms,19430,18218,1212
E09000004,5 rooms,35556,24572,10984
E09000004,6 rooms,7168,21106,-13938
E09000004,7 rooms,2821,9605,-6784
E09000004,8 rooms,722,5115,-4393
E09000004,9 or more rooms,333,2767,-2434
E09000005,1 room,4191,4209,-18
E09000005,2 rooms,21848,7971,13877
E09000005,3 rooms,34316,20095,14221
E09000005,4 rooms,16259,26158,-9899
E09000005,5 rooms,29385,20102,9283
E09000005,6 rooms,7532,16593,-9061
E09000005,7 rooms,2925,7706,-4781
E09000005,8 rooms,1258,4311,-3053
E09000005,9 or more rooms,900,3141,-2241
E09000006,1 room,1396,893,503
E09000006,2 rooms,15693,3699,11994
E09000006,3 rooms,30241,14910,15331
E09000006,4 rooms,26583,25559,1024
E09000006,5 rooms,37300,27014,10286
E09000006,6 rooms,13730,25055,-11325
E09000006,7 rooms,5956,15017,-9061
E09000006,8 rooms,2813,9484,-6671
E09000006,9 or more rooms,2115,9231,-7116
E09000007,1 room,8622,6116,2506
E09000007,2 rooms,23862,12241,11621
E09000007,3 rooms,28629,23651,4978
E09000007,4 rooms,16523,24696,-8173
E09000007,5 rooms,6942,15362,-8420
E09000007,6 rooms,3317,6636,-3319
E09000007,7 rooms,1993,3151,-1158
E09000007,8 rooms,1202,2299,-1097
E09000007,9 or more rooms,1670,3382,-1712
E09000008,1 room,4447,2217,2230
E09000008,2 rooms,22357,7186,15171
E09000008,3 rooms,36278,20815,15463
E09000008,4 rooms,26549,30437,-3888
E09000008,5 rooms,43336,30065,13271
E09000008,6 rooms,11839,26503,-14664
E09000008,7 rooms,4630,13286,-8656
E09000008,8 rooms,2045,7844,-5799
E09000008,9 or more rooms,1465,6657,-5192
E09000009,1 room,4853,3028,1825
E09000009,2 rooms,21675,7535,14140
E09000009,3 rooms,33822,20763,13059
E09000009,4 rooms,21401,28313,-6912
E09000009,5 rooms,37642,26224,11418
E09000009,6 rooms,8173,20181,-12008
E09000009,7 rooms,3219,8910,-5691
E09000009,8 rooms,1445,4779,-3334
E09000009,9 or more rooms,1429,4349,-2920
E09000010,1 room,2892,2013,879
E09000010,2 rooms,15294,5393,9901
E09000010,3 rooms,30003,17283,12720
E09000010,4 rooms,25379,27303,-1924
E09000010,5 rooms,36069,29700,6369
E09000010,6 rooms,7057,20691,-13634
E09000010,7 rooms,2416,9117,-6701
E09000010,8 rooms,931,4696,-3765
E09000010,9 or more rooms,886,3720,-2834
E09000011,1 room,1855,1387,468
E09000011,2 rooms,20260,5686,14574
E09000011,3 rooms,33772,17856,15916
E09000011,4 rooms,24771,25058,-287
E09000011,5 rooms,22972,24788,-1816
E09000011,6 rooms,6587,15262,-8675
E09000011,7 rooms,2359,5913,-3554
E09000011,8 rooms,754,2831,-2077
E09000011,9 or more rooms,722,2264,-1542
E09000012,1 room,4454,4367,87
E09000012,2 rooms,26331,10394,15937
E09000012,3 rooms,36404,25619,10785
E09000012,4 rooms,22796,27376,-4580
E09000012,5 rooms,8662,18542,-9880
E09000012,6 rooms,4215,7620,-3405
E09000012,7 rooms,1828,3483,-1655
E09000012,8 rooms,766,2238,-1472
E09000012,9 or more rooms,625,2051,-1426
E09000013,1 room,4513,3651,862
E09000013,2 rooms,21874,7336,14538
E09000013,3 rooms,24448,19981,4467
E09000013,4 rooms,14179,20696,-6517
E09000013,5 rooms,8152,13113,-4961
E09000013,6 rooms,4275,7365,-3090
E09000013,7 rooms,2109,3805,-1696
E09000013,8 rooms,979,2304,-1325
E09000013,9 or more rooms,715,2339,-1624
E09000014,1 room,5657,4393,1264
E09000014,2 rooms,22989,8230,14759
E09000014,3 rooms,28850,21306,7544
E09000014,4 rooms,17694,25680,-7986
E09000014,5 rooms,15511,18187,-2676
E09000014,6 rooms,8281,11183,-2902
E09000014,7 rooms,3367,5688,-2321
E09000014,8 rooms,1557,3733,-2176
E09000014,9 or more rooms,1186,3555,-2369
E09000015,1 room,1782,992,790
E09000015,2 rooms,10181,3032,7149
E09000015,3 rooms,19352,9791,9561
E09000015,4 rooms,11092,15936,-4844
E09000015,5 rooms,35238,18375,16863
E09000015,6 rooms,6718,17736,-11018
E09000015,7 rooms,2918,8874,-5956
E09000015,8 rooms,1324,5200,-3876
E09000015,9 or more rooms,1037,4332,-3295
E09000016,1 room,608,391,217
E09000016,2 rooms,9138,2013,7125
E09000016,3 rooms,21679,9198,12481
E09000016,4 rooms,28185,17674,10511
E09000016,5 rooms,31865,29259,2606
E09000016,6 rooms,6146,21060,-14914
E09000016,7 rooms,2097,9357,-7260
E09000016,8 rooms,850,4669,-3819
E09000016,9 or more rooms,709,3578,-2869
E09000017,1 room,2374,1150,1224
E09000017,2 rooms,13627,3889,9738
E09000017,3 rooms,28202,12176,16026
E09000017,4 rooms,24834,22505,2329
E09000017,5 rooms,30324,24815,5509
E09000017,6 rooms,5837,19570,-13733
E09000017,7 rooms,2415,8415,-6000
E09000017,8 rooms,992,4369,-3377
E09000017,9 or more rooms,624,3325,-2701
E09000018,1 room,2644,1804,840
E09000018,2 rooms,16655,5463,11192
E09000018,3 rooms,29707,15822,13885
E09000018,4 rooms,18982,23361,-4379
E09000018,5 rooms,26611,21472,5139
E09000018,6 rooms,4936,15041,-10105
E09000018,7 rooms,1783,6240,-4457
E09000018,8 rooms,899,3173,-2274
E09000018,9 or more rooms,744,2526,-1782
E09000019,1 room,3264,3320,-56
E09000019,2 rooms,29670,10921,18749
E09000019,3 rooms,32956,26028,6928
E09000019,4 rooms,16391,25333,-8942
E09000019,5 rooms,6700,14722,-8022
E09000019,6 rooms,4192,6130,-1938
E09000019,7 rooms,1953,3100,-1147
E09000019,8 rooms,770,2063,-1293
E09000019,9 or more rooms,602,1939,-1337
E09000020,1 room,6636,5249,1387
E09000020,2 rooms,15627,9181,6446
E09000020,3 rooms,19784,18429,1355
E09000020,4 rooms,10335,20428,-10093
E09000020,5 rooms,5070,10842,-5772
E09000020,6 rooms,3386,5297,-1911
E09000020,7 rooms,2061,3023,-962
E09000020,8 rooms,1417,2195,-778
E09000020,9 or more rooms,2567,3892,-1325
E09000021,1 room,1210,895,315
E09000021,2 rooms,8470,2894,5576
E09000021,3 rooms,15348,7808,7540
E09000021,4 rooms,10204,13928,-3724
E09000021,5 rooms,19208,12498,6710
E09000021,6 rooms,6174,11918,-5744
E09000021,7 rooms,2800,6685,-3885
E09000021,8 rooms,1184,3697,-2513
E09000021,9 or more rooms,1028,3316,-2288
E09000022,1 room,4913,4043,870
E09000022,2 rooms,30654,10779,19875
E09000022,3 rooms,44848,29451,15397
E09000022,4 rooms,25085,36545,-11460
E09000022,5 rooms,16065,24163,-8098
E09000022,6 rooms,6490,12038,-5548
E09000022,7 rooms,3505,5809,-2304
E09000022,8 rooms,1734,3665,-1931
E09000022,9 or more rooms,1395,3524,-2129
E09000023,1 room,4148,2453,1695
E09000023,2 rooms,24821,8243,16578
E09000023,3 rooms,37062,22907,14155
E09000023,4 rooms,23294,31264,-7970
E09000023,5 rooms,23247,23961,-714
E09000023,6 rooms,5764,15023,-9259
E09000023,7 rooms,2245,6222,-3977
E09000023,8 rooms,1000,3292,-2292
E09000023,9 or more rooms,811,2726,-1915
E09000024,1 room,1395,865,530
E09000024,2 rooms,11445,3873,7572
E09000024,3 rooms,18318,11362,6956
E09000024,4 rooms,13303,17384,-4081
E09000024,5 rooms,27610,17768,9842
E09000024,6 rooms,5298,14892,-9594
E09000024,7 rooms,2116,6218,-4102
E09000024,8 rooms,994,3144,-2150
E09000024,9 or more rooms,1250,3251,-2001
E09000025,1 room,1828,2201,-373
E09000025,2 rooms,23940,7405,16535
E09000025,3 rooms,33396,21103,12293
E09000025,4 rooms,30594,24740,5854
E09000025,5 rooms,18243,24801,-6558
E09000025,6 rooms,5513,13165,-7652
E09000025,7 rooms,1287,4696,-3409
E09000025,8 rooms,403,2131,-1728
E09000025,9 or more rooms,304,1277,-973
E09000026,1 room,1499,1149,350
E09000026,2 rooms,13239,4523,8716
E09000026,3 rooms,22134,12686,9448
E09000026,4 rooms,15376,18844,-3468
E09000026,5 rooms,37798,21215,16583
E09000026,6 rooms,8939,19640,-10701
E09000026,7 rooms,2995,10392,-7397
E09000026,8 rooms,996,6124,-5128
E09000026,9 or more rooms,737,4532,-3795
E09000027,1 room,1557,890,667
E09000027,2 rooms,11073,3525,7548
E09000027,3 rooms,19172,10854,8318
E09000027,4 rooms,15570,18326,-2756
E09000027,5 rooms,18186,15082,3104
E09000027,6 rooms,8106,12217,-4111
E09000027,7 rooms,3577,7745,-4168
E09000027,8 rooms,1880,5222,-3342
E09000027,9 or more rooms,1584,5974,-4390
E09000028,1 room,3681,3373,308
E09000028,2 rooms,33333,10624,22709
E09000028,3 rooms,46901,31167,15734
E09000028,4 rooms,24842,34008,-9166
E09000028,5 rooms,10836,22174,-11338
E09000028,6 rooms,6094,9709,-3615
E09000028,7 rooms,2853,4287,-1434
E09000028,8 rooms,1222,2582,-1360
E09000028,9 or more rooms,1055,2498,-1443
E09000029,1 room,1262,721,541
E09000029,2 rooms,11186,2790,8396
E09000029,3 rooms,21909,10466,11443
E09000029,4 rooms,15211,18520,-3309
E09000029,5 rooms,22753,16618,6135
E09000029,6 rooms,5996,13890,-7894
E09000029,7 rooms,2278,7051,-4773
E09000029,8 rooms,955,4280,-3325
E09000029,9 or more rooms,797,3838,-3041
E09000030,1 room,4197,2761,1436
E09000030,2 rooms,32963,11303,21660
E09000030,3 rooms,48021,27608,20413
E09000030,4 rooms,24235,31026,-6791
E09000030,5 rooms,7901,18024,-10123
E09000030,6 rooms,2092,6546,-4454
E09000030,7 rooms,744,2180,-1436
E09000030,8 rooms,193,1022,-829
E09000030,9 or more rooms,193,787,-594
E09000031,1 room,1677,1836,-159
E09000031,2 rooms,19840,5436,14404
E09000031,3 rooms,26085,16462,9623
E09000031,4 rooms,19037,23666,-4629
E09000031,5 rooms,28869,22447,6422
E09000031,6 rooms,5205,15692,-10487
E09000031,7 rooms,1463,6585,-5122
E09000031,8 rooms,420,3045,-2625
E09000031,9 or more rooms,304,1692,-1388
E09000032,1 room,3651,2473,1178
E09000032,2 rooms,28019,9125,18894
E09000032,3 rooms,45764,27297,18467
E09000032,4 rooms,25349,36229,-10880
E09000032,5 rooms,18418,23918,-5500
E09000032,6 rooms,8569,14341,-5772
E09000032,7 rooms,3909,7635,-3726
E09000032,8 rooms,1810,4419,-2609
E09000032,9 or more rooms,1905,5056,-3151
E09000033,1 room,8182,5661,2521
E09000033,2 rooms,26433,14088,12345
E09000033,3 rooms,29985,28089,1896
E09000033,4 rooms,16524,28759,-12235
E09000033,5 rooms,6337,15556,-9219
E09000033,6 rooms,2811,5908,-3097
E09000033,7 rooms,1644,2793,-1149
E09000033,8 rooms,982,1863,-881
E09000033,9 or more rooms,1918,3055,-1137
