lad22cd,category,count_21,count_11,change
E09000001,Occupancy rating of bedrooms: +1,1158,1042,116
E09000001,Occupancy rating of bedrooms: +2 or more,390,359,31
E09000001,Occupancy rating of bedrooms: -1,207,221,-14
E09000001,Occupancy rating of bedrooms: -2 or less,26,37,-11
E09000001,Occupancy rating of bedrooms: 0,3133,2726,407
E09000002,Occupancy rating of bedrooms: +1,19248,20601,-1353
E09000002,Occupancy rating of bedrooms: +2 or more,10720,11661,-941
E09000002,Occupancy rating of bedrooms: -1,10629,7794,2835
E09000002,Occupancy rating of bedrooms: -2 or less,2512,1601,911
E09000002,Occupancy rating of bedrooms: 0,30793,28024,2769
E09000003,Occupancy rating of bedrooms: +1,40449,39766,683
E09000003,Occupancy rating of bedrooms: +2 or more,42709,37823,4886
E09000003,Occupancy rating of bedrooms: -1,11644,11291,353
E09000003,Occupancy rating of bedrooms: -2 or less,2322,2345,-23
E09000003,Occupancy rating of bedrooms: 0,51793,44691,7102
E09000004,Occupancy rating of bedrooms: +1,31647,33027,-1380
E09000004,Occupancy rating of bedrooms: +2 or more,30448,28928,1520
E09000004,Occupancy rating of bedrooms: -1,4934,3763,1171
E09000004,Occupancy rating of bedrooms: -2 or less,898,604,294
E09000004,Occupancy rating of bedrooms: 0,27373,26282,1091
E09000005,Occupancy rating of bedrooms: +1,27337,26061,1276
E09000005,Occupancy rating of bedrooms: +2 or more,22710,19245,3465
E09000005,Occupancy rating of bedrooms: -1,14926,14867,59
E09000005,Occupancy rating of bedrooms: -2 or less,5127,4651,476
E09000005,Occupancy rating of bedrooms: 0,48512,45462,3050
E09000006,Occupancy rating of bedrooms: +1,42488,43322,-834
E09000006,Occupancy rating of bedrooms: +2 or more,49715,46728,2987
E09000006,Occupancy rating of bedrooms: -1,5425,4646,779
E09000006,Occupancy rating of bedrooms: -2 or less,695,575,120
E09000006,Occupancy rating of bedrooms: 0,37505,35591,1914
E09000007,Occupancy rating of bedrooms: +1,24607,24078,529
E09000007,Occupancy rating of bedrooms: +2 or more,13329,12965,364
E09000007,Occupancy rating of bedrooms: -1,7145,9474,-2329
E09000007,Occupancy rating of bedrooms: -2 or less,1690,1921,-231
E09000007,Occupancy rating of bedrooms: 0,45985,49096,-3111
E09000008,Occupancy rating of bedrooms: +1,41807,42195,-388
E09000008,Occupancy rating of bedrooms: +2 or more,40376,38082,2294
E09000008,Occupancy rating of bedrooms: -1,13402,11962,1440
E09000008,Occupancy rating of bedrooms: -2 or less,2466,2013,453
E09000008,Occupancy rating of bedrooms: 0,54895,50758,4137
E09000009,Occupancy rating of bedrooms: +1,33372,32978,394
E09000009,Occupancy rating of bedrooms: +2 or more,29916,26910,3006
E09000009,Occupancy rating of bedrooms: -1,13826,13470,356
E09000009,Occupancy rating of bedrooms: -2 or less,3802,3835,-33
E09000009,Occupancy rating of bedrooms: 0,52743,46889,5854
E09000010,Occupancy rating of bedrooms: +1,31780,34588,-2808
E09000010,Occupancy rating of bedrooms: +2 or more,30644,28994,1650
E09000010,Occupancy rating of bedrooms: -1,12565,11327,1238
E09000010,Occupancy rating of bedrooms: -2 or less,3065,2132,933
E09000010,Occupancy rating of bedrooms: 0,42871,42875,-4
E09000011,Occupancy rating of bedrooms: +1,32976,30542,2434
E09000011,Occupancy rating of bedrooms: +2 or more,22560,20799,1761
E09000011,Occupancy rating of bedrooms: -1,9947,8892,1055
E09000011,Occupancy rating of bedrooms: -2 or less,2272,2119,153
E09000011,Occupancy rating of bedrooms: 0,46298,38693,7605
E09000012,Occupancy rating of bedrooms: +1,25814,23270,2544
E09000012,Occupancy rating of bedrooms: +2 or more,12588,11344,1244
E09000012,Occupancy rating of bedrooms: -1,11070,12882,-1812
E09000012,Occupancy rating of bedrooms: -2 or less,2400,2625,-225
E09000012,Occupancy rating of bedrooms: 0,54209,51569,2640
E09000013,Occupancy rating of bedrooms: +1,20429,19862,567
E09000013,Occupancy rating of bedrooms: +2 or more,14293,12893,1400
E09000013,Occupancy rating of bedrooms: -1,6206,8271,-2065
E09000013,Occupancy rating of bedrooms: -2 or less,1187,1593,-406
E09000013,Occupancy rating of bedrooms: 0,39129,37971,1158
E09000014,Occupancy rating of bedrooms: +1,25609,24122,1487
E09000014,Occupancy rating of bedrooms: +2 or more,19716,17717,1999
E09000014,Occupancy rating of bedrooms: -1,11210,13169,-1959
E09000014,Occupancy rating of bedrooms: -2 or less,2935,3065,-130
E09000014,Occupancy rating of bedrooms: 0,45622,43882,1740
E09000015,Occupancy rating of bedrooms: +1,24177,25470,-1293
E09000015,Occupancy rating of bedrooms: +2 or more,26513,24266,2247
E09000015,Occupancy rating of bedrooms: -1,8438,6927,1511
E09000015,Occupancy rating of bedrooms: -2 or less,2496,1805,691
E09000015,Occupancy rating of bedrooms: 0,28019,25800,2219
E09000016,Occupancy rating of bedrooms: +1,32449,33805,-1356
E09000016,Occupancy rating of bedrooms: +2 or more,34335,33455,880
E09000016,Occupancy rating of bedrooms: -1,5266,3431,1835
E09000016,Occupancy rating of bedrooms: -2 or less,859,470,389
E09000016,Occupancy rating of bedrooms: 0,28368,26038,2330
E09000017,Occupancy rating of bedrooms: +1,31476,31461,15
E09000017,Occupancy rating of bedrooms: +2 or more,27287,25044,2243
E09000017,Occupancy rating of bedrooms: -1,9984,7972,2012
E09000017,Occupancy rating of bedrooms: -2 or less,2405,1779,626
E09000017,Occupancy rating of bedrooms: 0,38076,33958,4118
E09000018,Occupancy rating of bedrooms: +1,26288,27077,-789
E09000018,Occupancy rating of bedrooms: +2 or more,21000,19236,1764
E09000018,Occupancy rating of bedrooms: -1,11544,9626,1918
E09000018,Occupancy rating of bedrooms: -2 or less,3445,2347,1098
E09000018,Occupancy rating of bedrooms: 0,40684,36616,4068
E09000019,Occupancy rating of bedrooms: +1,24582,23138,1444
E09000019,Occupancy rating of bedrooms: +2 or more,11346,11002,344
E09000019,Occupancy rating of bedrooms: -1,7695,8584,-889
E09000019,Occupancy rating of bedrooms: -2 or less,1353,1393,-40
E09000019,Occupancy rating of bedrooms: 0,51520,49439,2081
E09000020,Occupancy rating of bedrooms: +1,19296,22555,-3259
E09000020,Occupancy rating of bedrooms: +2 or more,10894,11825,-931
E09000020,Occupancy rating of bedrooms: -1,4112,5649,-1537
E09000020,Occupancy rating of bedrooms: -2 or less,1312,895,417
E09000020,Occupancy rating of bedrooms: 0,31270,37612,-6342
E09000021,Occupancy rating of bedrooms: +1,19673,20981,-1308
E09000021,Occupancy rating of bedrooms: +2 or more,21342,18805,2537
E09000021,Occupancy rating of bedrooms: -1,3420,3216,204
E09000021,Occupancy rating of bedrooms: -2 or less,518,465,53
E09000021,Occupancy rating of bedrooms: 0,20673,20172,501
E09000022,Occupancy rating of bedrooms: +1,34995,33355,1640
E09000022,Occupancy rating of bedrooms: +2 or more,21600,20050,1550
E09000022,Occupancy rating of bedrooms: -1,11440,14446,-3006
E09000022,Occupancy rating of bedrooms: -2 or less,2783,2761,22
E09000022,Occupancy rating of bedrooms: 0,63871,59405,4466
E09000023,Occupancy rating of bedrooms: +1,33308,32468,840
E09000023,Occupancy rating of bedrooms: +2 or more,22849,20981,1868
E09000023,Occupancy rating of bedrooms: -1,11211,11704,-493
E09000023,Occupancy rating of bedrooms: -2 or less,2750,2314,436
E09000023,Occupancy rating of bedrooms: 0,52274,48624,3650
E09000024,Occupancy rating of bedrooms: +1,23381,24276,-895
E09000024,Occupancy rating of bedrooms: +2 or more,23541,21531,2010
E09000024,Occupancy rating of bedrooms: -1,6208,6036,172
E09000024,Occupancy rating of bedrooms: -2 or less,1470,1179,291
E09000024,Occupancy rating of bedrooms: 0,27129,25735,1394
E09000025,Occupancy rating of bedrooms: +1,26045,22258,3787
E09000025,Occupancy rating of bedrooms: +2 or more,14463,12165,2298
E09000025,Occupancy rating of bedrooms: -1,18316,17882,434
E09000025,Occupancy rating of bedrooms: -2 or less,6547,7699,-1152
E09000025,Occupancy rating of bedrooms: 0,50136,41515,8621
E09000026,Occupancy rating of bedrooms: +1,27566,29590,-2024
E09000026,Occupancy rating of bedrooms: +2 or more,29194,26462,2732
E09000026,Occupancy rating of bedrooms: -1,10899,8581,2318
E09000026,Occupancy rating of bedrooms: -2 or less,2731,2143,588
E09000026,Occupancy rating of bedrooms: 0,33324,32329,995
E09000027,Occupancy rating of bedrooms: +1,25300,26674,-1374
E09000027,Occupancy rating of bedrooms: +2 or more,28502,26568,1934
E09000027,Occupancy rating of bedrooms: -1,2821,2699,122
E09000027,Occupancy rating of bedrooms: -2 or less,400,317,83
E09000027,Occupancy rating of bedrooms: 0,23682,23577,105
E09000028,Occupancy rating of bedrooms: +1,33974,31119,2855
E09000028,Occupancy rating of bedrooms: +2 or more,17780,16077,1703
E09000028,Occupancy rating of bedrooms: -1,12735,14949,-2214
E09000028,Occupancy rating of bedrooms: -2 or less,3235,3526,-291
E09000028,Occupancy rating of bedrooms: 0,63094,54751,8343
E09000029,Occupancy rating of bedrooms: +1,25107,26295,-1188
E09000029,Occupancy rating of bedrooms: +2 or more,23272,21797,1475
E09000029,Occupancy rating of bedrooms: -1,5286,3631,1655
E09000029,Occupancy rating of bedrooms: -2 or less,645,499,146
E09000029,Occupancy rating of bedrooms: 0,28038,25952,2086
E09000030,Occupancy rating of bedrooms: +1,29162,25500,3662
E09000030,Occupancy rating of bedrooms: +2 or more,9039,8094,945
E09000030,Occupancy rating of bedrooms: -1,14882,12875,2007
E09000030,Occupancy rating of bedrooms: -2 or less,4248,3730,518
E09000030,Occupancy rating of bedrooms: 0,63208,51058,12150
E09000031,Occupancy rating of bedrooms: +1,28709,26808,1901
E09000031,Occupancy rating of bedrooms: +2 or more,21746,18674,3072
E09000031,Occupancy rating of bedrooms: -1,10794,11617,-823
E09000031,Occupancy rating of bedrooms: -2 or less,3039,3286,-247
E09000031,Occupancy rating of bedrooms: 0,38615,36476,2139
E09000032,Occupancy rating of bedrooms: +1,38614,37131,1483
E09000032,Occupancy rating of bedrooms: +2 or more,29689,27006,2683
E09000032,Occupancy rating of bedrooms: -1,8742,9762,-1020
E09000032,Occupancy rating of bedrooms: -2 or less,1598,1678,-80
E09000032,Occupancy rating of bedrooms: 0,58750,54916,3834
E09000033,Occupancy rating of bedrooms: +1,25088,27806,-2718
E09000033,Occupancy rating of bedrooms: +2 or more,11541,12052,-511
E09000033,Occupancy rating of bedrooms: -1,7658,9709,-2051
E09000033,Occupancy rating of bedrooms: -2 or less,2053,1804,249
E09000033,Occupancy rating of bedrooms: 0,48474,54401,-5927
