lsoa21cd,category,count_21,count_11,change
E01000001,"1. Managers, directors and senior officials",194,167,27
E01000001,2. Professional occupations,406,404,2
E01000001,3. Associate professional and technical occupations,184,38,146
E01000001,4. Administrative and secretarial occupations,39,53,-14
E01000001,5. Skilled trades occupations,5,14,-9
E01000001,"6. Caring, leisure and other service occupations",19,17,2
E01000001,7. Sales and customer service occupations,11,6,5
E01000001,"8. Process, plant and machine operatives",6,2,4
E01000001,9. Elementary occupations,4,12,-8
E01000002,"1. Managers, directors and senior officials",218,171,47
E01000002,2. Professional occupations,414,374,40
E01000002,3. Associate professional and technical occupations,187,52,135
E01000002,4. Administrative and secretarial occupations,35,61,-26
E01000002,5. Skilled trades occupations,3,12,-9
E01000002,"6. Caring, leisure and other service occupations",5,8,-3
E01000002,7. Sales and customer service occupations,3,18,-15
E01000002,"8. Process, plant and machine operatives",3,3,0
E01000002,9. Elementary occupations,7,13,-6
E01000003,"1. Managers, directors and senior officials",191,89,102
E01000003,2. Professional occupations,388,246,142
E01000003,3. Associate professional and technical occupations,217,57,160
E01000003,4. Administrative and secretarial occupations,72,67,5
E01000003,5. Skilled trades occupations,28,16,12
E01000003,"6. Caring, leisure and other service occupations",27,36,-9
E01000003,7. Sales and customer service occupations,26,29,-3
E01000003,"8. Process, plant and machine operatives",11,11,0
E01000003,9. Elementary occupations,42,45,-3
E01000005,"1. Managers, directors and senior officials",52,49,3
E01000005,2. Professional occupations,129,77,52
E01000005,3. Associate professional and technical occupations,61,25,36
E01000005,4. Administrative and secretarial occupations,43,64,-21
E01000005,5. Skilled trades occupations,21,31,-10
E01000005,"6. Caring, leisure and other service occupations",52,33,19
E01000005,7. Sales and customer service occupations,34,33,1
E01000005,"8. Process, plant and machine operatives",16,26,-10
E01000005,9. Elementary occupations,86,69,17
E01000006,"1. Managers, directors and senior officials",76,60,16
E01000006,2. Professional occupations,126,139,-13
E01000006,3. Associate professional and technical occupations,97,45,52
E01000006,4. Administrative and secretarial occupations,68,81,-13
E01000006,5. Skilled trades occupations,107,99,8
E01000006,"6. Caring, leisure and other service occupations",82,73,9
E01000006,7. Sales and customer service occupations,68,70,-2
E01000006,"8. Process, plant and machine operatives",101,73,28
E01000006,9. Elementary occupations,161,104,57
E01000007,"1. Managers, directors and senior officials",129,53,76
E01000007,2. Professional occupations,290,98,192
E01000007,3. Associate professional and technical occupations,160,37,123
E01000007,4. Administrative and secretarial occupations,141,67,74
E01000007,5. Skilled trades occupations,81,57,24
E01000007,"6. Caring, leisure and other service occupations",167,54,113
E01000007,7. Sales and customer service occupations,121,71,50
E01000007,"8. Process, plant and machine operatives",84,42,42
E01000007,9. Elementary occupations,205,92,113
E01000008,"1. Managers, directors and senior officials",36,30,6
E01000008,2. Professional occupations,71,62,9
E01000008,3. Associate professional and technical occupations,62,14,48
E01000008,4. Administrative and secretarial occupations,48,41,7
E01000008,5. Skilled trades occupations,64,52,12
E01000008,"6. Caring, leisure and other service occupations",100,61,39
E01000008,7. Sales and customer service occupations,59,70,-11
E01000008,"8. Process, plant and machine operatives",66,48,18
E01000008,9. Elementary occupations,138,138,0
E01000009,"1. Managers, directors and senior officials",58,62,-4
E01000009,2. Professional occupations,123,133,-10
E01000009,3. Associate professional and technical occupations,62,47,15
E01000009,4. Administrative and secretarial occupations,70,79,-9
E01000009,5. Skilled trades occupations,109,63,46
E01000009,"6. Caring, leisure and other service occupations",62,54,8
E01000009,7. Sales and customer service occupations,70,90,-20
E01000009,"8. Process, plant and machine operatives",70,60,10
E01000009,9. Elementary occupations,159,124,35
E01000011,"1. Managers, directors and senior officials",34,55,-21
E01000011,2. Professional occupations,109,106,3
E01000011,3. Associate professional and technical occupations,68,30,38
E01000011,4. Administrative and secretarial occupations,56,60,-4
E01000011,5. Skilled trades occupations,116,58,58
E01000011,"6. Caring, leisure and other service occupations",52,48,4
E01000011,7. Sales and customer service occupations,62,88,-26
E01000011,"8. Process, plant and machine operatives",88,59,29
E01000011,9. Elementary occupations,151,136,15
E01000012,"1. Managers, directors and senior officials",62,59,3
E01000012,2. Professional occupations,129,105,24
E01000012,3. Associate professional and technical occupations,93,34,59
E01000012,4. Administrative and secretarial occupations,59,72,-13
E01000012,5. Skilled trades occupations,92,77,15
E01000012,"6. Caring, leisure and other service occupations",104,87,17
E01000012,7. Sales and customer service occupations,75,75,0
E01000012,"8. Process, plant and machine operatives",97,69,28
E01000012,9. Elementary occupations,189,142,47
E01000013,"1. Managers, directors and senior officials",66,46,20
E01000013,2. Professional occupations,104,91,13
E01000013,3. Associate professional and technical occupations,67,32,35
E01000013,4. Administrative and secretarial occupations,67,96,-29
E01000013,5. Skilled trades occupations,121,82,39
E01000013,"6. Caring, leisure and other service occupations",106,98,8
E01000013,7. Sales and customer service occupations,70,88,-18
E01000013,"8. Process, plant and machine operatives",74,85,-11
E01000013,9. Elementary occupations,127,124,3
E01000014,"1. Managers, directors and senior officials",67,36,31
E01000014,2. Professional occupations,90,55,35
E01000014,3. Associate professional and technical occupations,84,36,48
E01000014,4. Administrative and secretarial occupations,84,77,7
E01000014,5. Skilled trades occupations,99,69,30
E01000014,"6. Caring, leisure and other service occupations",88,89,-1
E01000014,7. Sales and customer service occupations,57,53,4
E01000014,"8. Process, plant and machine operatives",84,40,44
E01000014,9. Elementary occupations,144,80,64
E01000015,"1. Managers, directors and senior officials",65,45,20
E01000015,2. Professional occupations,157,96,61
E01000015,3. Associate professional and technical occupations,93,39,54
E01000015,4. Administrative and secretarial occupations,90,97,-7
E01000015,5. Skilled trades occupations,155,120,35
E01000015,"6. Caring, leisure and other service occupations",141,119,22
E01000015,7. Sales and customer service occupations,82,89,-7
E01000015,"8. Process, plant and machine operatives",99,80,19
E01000015,9. Elementary occupations,186,153,33
E01000016,"1. Managers, directors and senior officials",69,39,30
E01000016,2. Professional occupations,128,66,62
E01000016,3. Associate professional and technical occupations,71,35,36
E01000016,4. Administrative and secretarial occupations,83,91,-8
E01000016,5. Skilled trades occupations,118,82,36
E01000016,"6. Caring, leisure and other service occupations",107,84,23
E01000016,7. Sales and customer service occupations,64,52,12
E01000016,"8. Process, plant and machine operatives",77,67,10
E01000016,9. Elementary occupations,145,121,24
E01000017,"1. Managers, directors and senior officials",47,40,7
E01000017,2. Professional occupations,131,88,43
E01000017,3. Associate professional and technical occupations,69,28,41
E01000017,4. Administrative and secretarial occupations,75,77,-2
E01000017,5. Skilled trades occupations,91,69,22
E01000017,"6. Caring, leisure and other service occupations",97,75,22
E01000017,7. Sales and customer service occupations,51,60,-9
E01000017,"8. Process, plant and machine operatives",65,78,-13
E01000017,9. Elementary occupations,121,93,28
E01000018,"1. Managers, directors and senior officials",72,32,40
E01000018,2. Professional occupations,118,81,37
E01000018,3. Associate professional and technical occupations,65,23,42
E01000018,4. Administrative and secretarial occupations,87,83,4
E01000018,5. Skilled trades occupations,110,78,32
E01000018,"6. Caring, leisure and other service occupations",101,70,31
E01000018,7. Sales and customer service occupations,68,66,2
E01000018,"8. Process, plant and machine operatives",63,61,2
E01000018,9. Elementary occupations,151,112,39
E01000019,"1. Managers, directors and senior officials",61,41,20
E01000019,2. Professional occupations,87,59,28
E01000019,3. Associate professional and technical occupations,62,27,35
E01000019,4. Administrative and secretarial occupations,75,93,-18
E01000019,5. Skilled trades occupations,78,61,17
E01000019,"6. Caring, leisure and other service occupations",68,63,5
E01000019,7. Sales and customer service occupations,55,60,-5
E01000019,"8. Process, plant and machine operatives",78,49,29
E01000019,9. Elementary occupations,125,86,39
E01000020,"1. Managers, directors and senior officials",52,48,4
E01000020,2. Professional occupations,122,88,34
E01000020,3. Associate professional and technical occupations,99,46,53
E01000020,4. Administrative and secretarial occupations,99,99,0
E01000020,5. Skilled trades occupations,118,87,31
E01000020,"6. Caring, leisure and other service occupations",84,78,6
E01000020,7. Sales and customer service occupations,61,51,10
E01000020,"8. Process, plant and machine operatives",96,70,26
E01000020,9. Elementary occupations,167,105,62
E01000021,"1. Managers, directors and senior officials",46,46,0
E01000021,2. Professional occupations,84,69,15
E01000021,3. Associate professional and technical occupations,69,28,41
E01000021,4. Administrative and secretarial occupations,59,72,-13
E01000021,5. Skilled trades occupations,98,93,5
E01000021,"6. Caring, leisure and other service occupations",96,76,20
E01000021,7. Sales and customer service occupations,63,42,21
E01000021,"8. Process, plant and machine operatives",62,52,10
E01000021,9. Elementary occupations,104,108,-4
E01000022,"1. Managers, directors and senior officials",50,27,23
E01000022,2. Professional occupations,101,67,34
E01000022,3. Associate professional and technical occupations,56,25,31
E01000022,4. Administrative and secretarial occupations,66,68,-2
E01000022,5. Skilled trades occupations,67,60,7
E01000022,"6. Caring, leisure and other service occupations",76,53,23
E01000022,7. Sales and customer service occupations,64,54,10
E01000022,"8. Process, plant and machine operatives",61,49,12
E01000022,9. Elementary occupations,95,91,4
E01000024,"1. Managers, directors and senior officials",40,23,17
E01000024,2. Professional occupations,101,60,41
E01000024,3. Associate professional and technical occupations,61,25,36
E01000024,4. Administrative and secretarial occupations,59,70,-11
E01000024,5. Skilled trades occupations,75,53,22
E01000024,"6. Caring, leisure and other service occupations",61,66,-5
E01000024,7. Sales and customer service occupations,49,54,-5
E01000024,"8. Process, plant and machine operatives",75,69,6
E01000024,9. Elementary occupations,106,87,19
E01000025,"1. Managers, directors and senior officials",57,39,18
E01000025,2. Professional occupations,113,98,15
E01000025,3. Associate professional and technical occupations,92,26,66
E01000025,4. Administrative and secretarial occupations,88,87,1
E01000025,5. Skilled trades occupations,90,71,19
E01000025,"6. Caring, leisure and other service occupations",100,73,27
E01000025,7. Sales and customer service occupations,83,63,20
E01000025,"8. Process, plant and machine operatives",66,71,-5
E01000025,9. Elementary occupations,156,119,37
E01000027,"1. Managers, directors and senior officials",78,46,32
E01000027,2. Professional occupations,104,79,25
E01000027,3. Associate professional and technical occupations,83,29,54
E01000027,4. Administrative and secretarial occupations,67,89,-22
E01000027,5. Skilled trades occupations,127,77,50
E01000027,"6. Caring, leisure and other service occupations",93,86,7
E01000027,7. Sales and customer service occupations,59,67,-8
E01000027,"8. Process, plant and machine operatives",82,61,21
E01000027,9. Elementary occupations,110,74,36
E01000028,"1. Managers, directors and senior officials",32,25,7
E01000028,2. Professional occupations,127,72,55
E01000028,3. Associate professional and technical occupations,57,27,30
E01000028,4. Administrative and secretarial occupations,59,69,-10
E01000028,5. Skilled trades occupations,84,59,25
E01000028,"6. Caring, leisure and other service occupations",81,73,8
E01000028,7. Sales and customer service occupations,49,69,-20
E01000028,"8. Process, plant and machine operatives",67,47,20
E01000028,9. Elementary occupations,132,75,57
E01000029,"1. Managers, directors and senior officials",81,52,29
E01000029,2. Professional occupations,159,107,52
E01000029,3. Associate professional and technical occupations,74,35,39
E01000029,4. Administrative and secretarial occupations,75,96,-21
E01000029,5. Skilled trades occupations,102,68,34
E01000029,"6. Caring, leisure and other service occupations",66,55,11
E01000029,7. Sales and customer service occupations,64,57,7
E01000029,"8. Process, plant and machine operatives",61,51,10
E01000029,9. Elementary occupations,95,71,24
E01000030,"1. Managers, directors and senior officials",87,39,48
E01000030,2. Professional occupations,144,72,72
E01000030,3. Associate professional and technical occupations,96,40,56
E01000030,4. Administrative and secretarial occupations,96,69,27
E01000030,5. Skilled trades occupations,102,84,18
E01000030,"6. Caring, leisure and other service occupations",139,88,51
E01000030,7. Sales and customer service occupations,83,68,15
E01000030,"8. Process, plant and machine operatives",89,59,30
E01000030,9. Elementary occupations,143,109,34
E01000031,"1. Managers, directors and senior officials",94,62,32
E01000031,2. Professional occupations,160,132,28
E01000031,3. Associate professional and technical occupations,90,42,48
E01000031,4. Administrative and secretarial occupations,100,116,-16
E01000031,5. Skilled trades occupations,70,70,0
E01000031,"6. Caring, leisure and other service occupations",81,63,18
E01000031,7. Sales and customer service occupations,69,67,2
E01000031,"8. Process, plant and machine operatives",46,48,-2
E01000031,9. Elementary occupations,80,61,19
E01000032,"1. Managers, directors and senior officials",82,68,14
E01000032,2. Professional occupations,124,92,32
E01000032,3. Associate professional and technical occupations,98,39,59
E01000032,4. Administrative and secretarial occupations,89,116,-27
E01000032,5. Skilled trades occupations,112,87,25
E01000032,"6. Caring, leisure and other service occupations",92,58,34
E01000032,7. Sales and customer service occupations,83,61,22
E01000032,"8. Process, plant and machine operatives",76,53,23
E01000032,9. Elementary occupations,120,93,27
E01000033,"1. Managers, directors and senior officials",42,18,24
E01000033,2. Professional occupations,88,44,44
E01000033,3. Associate professional and technical occupations,45,25,20
E01000033,4. Administrative and secretarial occupations,59,68,-9
E01000033,5. Skilled trades occupations,61,61,0
E01000033,"6. Caring, leisure and other service occupations",84,68,16
E01000033,7. Sales and customer service occupations,53,50,3
E01000033,"8. Process, plant and machine operatives",46,52,-6
E01000033,9. Elementary occupations,114,95,19
E01000034,"1. Managers, directors and senior officials",52,39,13
E01000034,2. Professional occupations,99,65,34
E01000034,3. Associate professional and technical occupations,69,36,33
E01000034,4. Administrative and secretarial occupations,59,82,-23
E01000034,5. Skilled trades occupations,94,55,39
E01000034,"6. Caring, leisure and other service occupations",77,63,14
E01000034,7. Sales and customer service occupations,46,52,-6
E01000034,"8. Process, plant and machine operatives",58,69,-11
E01000034,9. Elementary occupations,95,60,35
E01000035,"1. Managers, directors and senior officials",65,52,13
E01000035,2. Professional occupations,127,91,36
E01000035,3. Associate professional and technical occupations,70,40,30
E01000035,4. Administrative and secretarial occupations,59,96,-37
E01000035,5. Skilled trades occupations,115,82,33
E01000035,"6. Caring, leisure and other service occupations",101,76,25
E01000035,7. Sales and customer service occupations,55,53,2
E01000035,"8. Process, plant and machine operatives",93,54,39
E01000035,9. Elementary occupations,133,99,34
E01000036,"1. Managers, directors and senior officials",46,43,3
E01000036,2. Professional occupations,120,87,33
E01000036,3. Associate professional and technical occupations,55,49,6
E01000036,4. Administrative and secretarial occupations,66,89,-23
E01000036,5. Skilled trades occupations,97,82,15
E01000036,"6. Caring, leisure and other service occupations",58,60,-2
E01000036,7. Sales and customer service occupations,48,66,-18
E01000036,"8. Process, plant and machine operatives",85,54,31
E01000036,9. Elementary occupations,120,68,52
E01000037,"1. Managers, directors and senior officials",75,70,5
E01000037,2. Professional occupations,168,97,71
E01000037,3. Associate professional and technical occupations,102,53,49
E01000037,4. Administrative and secretarial occupations,107,179,-72
E01000037,5. Skilled trades occupations,113,131,-18
E01000037,"6. Caring, leisure and other service occupations",71,66,5
E01000037,7. Sales and customer service occupations,57,73,-16
E01000037,"8. Process, plant and machine operatives",71,59,12
E01000037,9. Elementary occupations,91,72,19
E01000038,"1. Managers, directors and senior officials",58,35,23
E01000038,2. Professional occupations,172,80,92
E01000038,3. Associate professional and technical occupations,86,50,36
E01000038,4. Administrative and secretarial occupations,88,99,-11
E01000038,5. Skilled trades occupations,87,73,14
E01000038,"6. Caring, leisure and other service occupations",71,64,7
E01000038,7. Sales and customer service occupations,56,61,-5
E01000038,"8. Process, plant and machine operatives",69,62,7
E01000038,9. Elementary occupations,96,81,15
E01000039,"1. Managers, directors and senior officials",77,70,7
E01000039,2. Professional occupations,178,119,59
E01000039,3. Associate professional and technical occupations,92,47,45
E01000039,4. Administrative and secretarial occupations,89,110,-21
E01000039,5. Skilled trades occupations,97,74,23
E01000039,"6. Caring, leisure and other service occupations",79,77,2
E01000039,7. Sales and customer service occupations,56,55,1
E01000039,"8. Process, plant and machine operatives",79,66,13
E01000039,9. Elementary occupations,75,67,8
E01000040,"1. Managers, directors and senior officials",60,38,22
E01000040,2. Professional occupations,107,60,47
E01000040,3. Associate professional and technical occupations,77,35,42
E01000040,4. Administrative and secretarial occupations,64,85,-21
E01000040,5. Skilled trades occupations,92,63,29
E01000040,"6. Caring, leisure and other service occupations",86,76,10
E01000040,7. Sales and customer service occupations,71,66,5
E01000040,"8. Process, plant and machine operatives",65,59,6
E01000040,9. Elementary occupations,115,109,6
E01000041,"1. Managers, directors and senior officials",68,42,26
E01000041,2. Professional occupations,103,81,22
E01000041,3. Associate professional and technical occupations,77,35,42
E01000041,4. Administrative and secretarial occupations,79,86,-7
E01000041,5. Skilled trades occupations,113,88,25
E01000041,"6. Caring, leisure and other service occupations",98,72,26
E01000041,7. Sales and customer service occupations,72,61,11
E01000041,"8. Process, plant and machine operatives",78,75,3
E01000041,9. Elementary occupations,130,102,28
E01000042,"1. Managers, directors and senior officials",53,40,13
E01000042,2. Professional occupations,110,80,30
E01000042,3. Associate professional and technical occupations,72,35,37
E01000042,4. Administrative and secretarial occupations,59,72,-13
E01000042,5. Skilled trades occupations,85,71,14
E01000042,"6. Caring, leisure and other service occupations",83,76,7
E01000042,7. Sales and customer service occupations,53,55,-2
E01000042,"8. Process, plant and machine operatives",66,40,26
E01000042,9. Elementary occupations,127,95,32
E01000043,"1. Managers, directors and senior officials",52,35,17
E01000043,2. Professional occupations,110,56,54
E01000043,3. Associate professional and technical occupations,75,14,61
E01000043,4. Administrative and secretarial occupations,73,81,-8
E01000043,5. Skilled trades occupations,102,59,43
E01000043,"6. Caring, leisure and other service occupations",63,55,8
E01000043,7. Sales and customer service occupations,51,45,6
E01000043,"8. Process, plant and machine operatives",61,52,9
E01000043,9. Elementary occupations,118,88,30
E01000044,"1. Managers, directors and senior officials",79,48,31
E01000044,2. Professional occupations,113,113,0
E01000044,3. Associate professional and technical occupations,81,33,48
E01000044,4. Administrative and secretarial occupations,57,86,-29
E01000044,5. Skilled trades occupations,137,85,52
E01000044,"6. Caring, leisure and other service occupations",86,78,8
E01000044,7. Sales and customer service occupations,70,72,-2
E01000044,"8. Process, plant and machine operatives",84,69,15
E01000044,9. Elementary occupations,189,140,49
E01000045,"1. Managers, directors and senior officials",58,59,-1
E01000045,2. Professional occupations,94,74,20
E01000045,3. Associate professional and technical occupations,71,38,33
E01000045,4. Administrative and secretarial occupations,50,89,-39
E01000045,5. Skilled trades occupations,110,89,21
E01000045,"6. Caring, leisure and other service occupations",87,69,18
E01000045,7. Sales and customer service occupations,57,55,2
E01000045,"8. Process, plant and machine operatives",82,52,30
E01000045,9. Elementary occupations,125,116,9
E01000046,"1. Managers, directors and senior officials",76,43,33
E01000046,2. Professional occupations,124,73,51
E01000046,3. Associate professional and technical occupations,67,26,41
E01000046,4. Administrative and secretarial occupations,77,112,-35
E01000046,5. Skilled trades occupations,117,101,16
E01000046,"6. Caring, leisure and other service occupations",112,98,14
E01000046,7. Sales and customer service occupations,69,67,2
E01000046,"8. Process, plant and machine operatives",76,65,11
E01000046,9. Elementary occupations,141,113,28
E01000049,"1. Managers, directors and senior officials",31,30,1
E01000049,2. Professional occupations,80,53,27
E01000049,3. Associate professional and technical occupations,59,25,34
E01000049,4. Administrative and secretarial occupations,49,49,0
E01000049,5. Skilled trades occupations,67,45,22
E01000049,"6. Caring, leisure and other service occupations",123,75,48
E01000049,7. Sales and customer service occupations,64,68,-4
E01000049,"8. Process, plant and machine operatives",74,53,21
E01000049,9. Elementary occupations,132,144,-12
E01000050,"1. Managers, directors and senior officials",63,35,28
E01000050,2. Professional occupations,153,83,70
E01000050,3. Associate professional and technical occupations,83,16,67
E01000050,4. Administrative and secretarial occupations,56,63,-7
E01000050,5. Skilled trades occupations,101,71,30
E01000050,"6. Caring, leisure and other service occupations",62,49,13
E01000050,7. Sales and customer service occupations,90,74,16
E01000050,"8. Process, plant and machine operatives",63,59,4
E01000050,9. Elementary occupations,148,77,71
E01000051,"1. Managers, directors and senior officials",58,36,22
E01000051,2. Professional occupations,124,56,68
E01000051,3. Associate professional and technical occupations,93,30,63
E01000051,4. Administrative and secretarial occupations,39,61,-22
E01000051,5. Skilled trades occupations,37,53,-16
E01000051,"6. Caring, leisure and other service occupations",56,57,-1
E01000051,7. Sales and customer service occupations,38,63,-25
E01000051,"8. Process, plant and machine operatives",55,57,-2
E01000051,9. Elementary occupations,74,146,-72
E01000052,"1. Managers, directors and senior officials",70,53,17
E01000052,2. Professional occupations,146,109,37
E01000052,3. Associate professional and technical occupations,90,34,56
E01000052,4. Administrative and secretarial occupations,83,124,-41
E01000052,5. Skilled trades occupations,116,100,16
E01000052,"6. Caring, leisure and other service occupations",81,79,2
E01000052,7. Sales and customer service occupations,109,97,12
E01000052,"8. Process, plant and machine operatives",99,54,45
E01000052,9. Elementary occupations,178,156,22
E01000053,"1. Managers, directors and senior officials",43,45,-2
E01000053,2. Professional occupations,77,81,-4
E01000053,3. Associate professional and technical occupations,60,26,34
E01000053,4. Administrative and secretarial occupations,83,88,-5
E01000053,5. Skilled trades occupations,82,65,17
E01000053,"6. Caring, leisure and other service occupations",93,76,17
E01000053,7. Sales and customer service occupations,55,52,3
E01000053,"8. Process, plant and machine operatives",67,65,2
E01000053,9. Elementary occupations,120,91,29
E01000054,"1. Managers, directors and senior officials",70,26,44
E01000054,2. Professional occupations,107,81,26
E01000054,3. Associate professional and technical occupations,71,43,28
E01000054,4. Administrative and secretarial occupations,84,78,6
E01000054,5. Skilled trades occupations,107,74,33
E01000054,"6. Caring, leisure and other service occupations",114,73,41
E01000054,7. Sales and customer service occupations,64,72,-8
E01000054,"8. Process, plant and machine operatives",88,82,6
E01000054,9. Elementary occupations,116,125,-9
E01000055,"1. Managers, directors and senior officials",58,38,20
E01000055,2. Professional occupations,120,75,45
E01000055,3. Associate professional and technical occupations,58,28,30
E01000055,4. Administrative and secretarial occupations,73,88,-15
E01000055,5. Skilled trades occupations,84,79,5
E01000055,"6. Caring, leisure and other service occupations",83,73,10
E01000055,7. Sales and customer service occupations,52,83,-31
E01000055,"8. Process, plant and machine operatives",87,67,20
E01000055,9. Elementary occupations,129,98,31
E01000056,"1. Managers, directors and senior officials",62,52,10
E01000056,2. Professional occupations,99,69,30
E01000056,3. Associate professional and technical occupations,69,24,45
E01000056,4. Administrative and secretarial occupations,52,84,-32
E01000056,5. Skilled trades occupations,98,57,41
E01000056,"6. Caring, leisure and other service occupations",97,51,46
E01000056,7. Sales and customer service occupations,52,57,-5
E01000056,"8. Process, plant and machine operatives",67,78,-11
E01000056,9. Elementary occupations,106,99,7
E01000057,"1. Managers, directors and senior officials",53,35,18
E01000057,2. Professional occupations,83,78,5
E01000057,3. Associate professional and technical occupations,52,23,29
E01000057,4. Administrative and secretarial occupations,50,76,-26
E01000057,5. Skilled trades occupations,83,64,19
E01000057,"6. Caring, leisure and other service occupations",102,77,25
E01000057,7. Sales and customer service occupations,66,61,5
E01000057,"8. Process, plant and machine operatives",57,56,1
E01000057,9. Elementary occupations,104,101,3
E01000058,"1. Managers, directors and senior officials",92,41,51
E01000058,2. Professional occupations,152,123,29
E01000058,3. Associate professional and technical occupations,72,36,36
E01000058,4. Administrative and secretarial occupations,73,92,-19
E01000058,5. Skilled trades occupations,120,79,41
E01000058,"6. Caring, leisure and other service occupations",93,84,9
E01000058,7. Sales and customer service occupations,71,65,6
E01000058,"8. Process, plant and machine operatives",101,85,16
E01000058,9. Elementary occupations,157,136,21
E01000059,"1. Managers, directors and senior officials",53,36,17
E01000059,2. Professional occupations,97,66,31
E01000059,3. Associate professional and technical occupations,74,22,52
E01000059,4. Administrative and secretarial occupations,63,70,-7
E01000059,5. Skilled trades occupations,114,76,38
E01000059,"6. Caring, leisure and other service occupations",110,90,20
E01000059,7. Sales and customer service occupations,58,51,7
E01000059,"8. Process, plant and machine operatives",83,67,16
E01000059,9. Elementary occupations,139,100,39
E01000060,"1. Managers, directors and senior officials",67,39,28
E01000060,2. Professional occupations,117,94,23
E01000060,3. Associate professional and technical occupations,74,29,45
E01000060,4. Administrative and secretarial occupations,89,81,8
E01000060,5. Skilled trades occupations,96,68,28
E01000060,"6. Caring, leisure and other service occupations",128,94,34
E01000060,7. Sales and customer service occupations,89,63,26
E01000060,"8. Process, plant and machine operatives",68,75,-7
E01000060,9. Elementary occupations,137,98,39
E01000061,"1. Managers, directors and senior officials",50,22,28
E01000061,2. Professional occupations,141,114,27
E01000061,3. Associate professional and technical occupations,76,24,52
E01000061,4. Administrative and secretarial occupations,58,54,4
E01000061,5. Skilled trades occupations,48,46,2
E01000061,"6. Caring, leisure and other service occupations",115,82,33
E01000061,7. Sales and customer service occupations,67,65,2
E01000061,"8. Process, plant and machine operatives",65,50,15
E01000061,9. Elementary occupations,136,113,23
E01000062,"1. Managers, directors and senior officials",73,52,21
E01000062,2. Professional occupations,171,121,50
E01000062,3. Associate professional and technical occupations,116,35,81
E01000062,4. Administrative and secretarial occupations,94,92,2
E01000062,5. Skilled trades occupations,122,79,43
E01000062,"6. Caring, leisure and other service occupations",117,101,16
E01000062,7. Sales and customer service occupations,69,67,2
E01000062,"8. Process, plant and machine operatives",105,93,12
E01000062,9. Elementary occupations,160,94,66
E01000063,"1. Managers, directors and senior officials",71,38,33
E01000063,2. Professional occupations,103,62,41
E01000063,3. Associate professional and technical occupations,72,32,40
E01000063,4. Administrative and secretarial occupations,73,96,-23
E01000063,5. Skilled trades occupations,91,77,14
E01000063,"6. Caring, leisure and other service occupations",100,84,16
E01000063,7. Sales and customer service occupations,92,57,35
E01000063,"8. Process, plant and machine operatives",90,81,9
E01000063,9. Elementary occupations,110,101,9
E01000064,"1. Managers, directors and senior officials",70,47,23
E01000064,2. Professional occupations,169,100,69
E01000064,3. Associate professional and technical occupations,99,33,66
E01000064,4. Administrative and secretarial occupations,82,106,-24
E01000064,5. Skilled trades occupations,125,83,42
E01000064,"6. Caring, leisure and other service occupations",124,85,39
E01000064,7. Sales and customer service occupations,86,73,13
E01000064,"8. Process, plant and machine operatives",97,71,26
E01000064,9. Elementary occupations,169,121,48
E01000065,"1. Managers, directors and senior officials",65,36,29
E01000065,2. Professional occupations,94,91,3
E01000065,3. Associate professional and technical occupations,74,41,33
E01000065,4. Administrative and secretarial occupations,71,100,-29
E01000065,5. Skilled trades occupations,114,63,51
E01000065,"6. Caring, leisure and other service occupations",109,68,41
E01000065,7. Sales and customer service occupations,65,50,15
E01000065,"8. Process, plant and machine operatives",77,67,10
E01000065,9. Elementary occupations,146,112,34
E01000066,"1. Managers, directors and senior officials",92,60,32
E01000066,2. Professional occupations,178,110,68
E01000066,3. Associate professional and technical occupations,93,44,49
E01000066,4. Administrative and secretarial occupations,130,102,28
E01000066,5. Skilled trades occupations,108,84,24
E01000066,"6. Caring, leisure and other service occupations",98,97,1
